Metin,metin_lemmatized
braoun marka bir tane vardı taraksız kesince almıyordu farklı uzunluk gibi bırakıyordu bu resmen 1 günlük sakal gibi alıyor fena kesiyor ama benim gibi beceriksizseniz ve ilk kez deniyorsanız yani daha önce böyle kullanan birisi 3 dk da keserse ben 7 dk kesiyorum böyle oluncada makina ısınıyor demiri fena rahatsız ediyor ama eli alışık olanlar ısınmadan şak şak keser diye düşünüyorum ısınması kötü kesimi motoru falan güçlü. ben kışın kullanmak için sakalım sert olduğu için duşta yumuşat yarı çıplak traş ol üşütmr tehlikesi olmaması için duşa girmeden kesicem duşumu alıp çıkıcam. yani pişman olmadım alınır güzel cihaz.,"['', 'marka', 'bir', 'tane', 'var', 'taraksız', 'kesince', 'al', 'farklı', 'uzunluk', 'bırak', 'resmen', 'günlük', 'sakal', 'al', 'fena', 'kes', 'ben', 'beceriksiz', 'ilk', 'dene', 'ön', 'böyle', 'kullanan', 'birisi', '', 'kes', 'ben', '', 'kes', 'böyle', 'olunca', '', 'ısın', 'demirî', 'fena', 'rahatsız', 'et', 'el', 'alışık', 'olan', 'ısınmadan', 'şak', 'şak', 'kes', 'düşün', 'ısınma', 'kötü', 'kesim', 'motor', 'falan', 'güçlü', 'ben', 'kışın', 'kullanmak', 'sakalı', 'sert', 'olduk', 'duş', 'yumuşat', 'yarı', 'çıplak', '', 'ol', '', 'tehlike', 'olmama', 'duş', 'girmeden', 'kesice', 'duş', 'alıp', 'çıkıca', 'pişman', 'ol', 'alın', 'güzel', 'cihaz']"
Harika bir makina çok güzel kesiyor. Kasası oldukça sağlam ben çok beğendim vallahi,"['harika', 'bir', '', 'güzel', 'kes', 'kasa', 'oldukça', 'sağlam', 'ben', 'beğen', 'vallahi']"
Evet beğendim fakat Fiyatı biraz uygun tutulabilir.,"['evet', 'beğen', 'fakat', 'fiyat', 'biraz', 'uygun', 'tutulabil']"
ürün anlattığı gibi herkese tavsiye ederim...,"['ürün', 'anlattık', 'herkes', 'tavsiye', 'eder']"
Ürün güzel ama paketleme hoşuma gitmedi,"['ürün', 'güzel', 'paketle', 'hoş', 'git']"
ürün tek sıkıntısı çabuk ısınması sıfıra yakın bir kesim sağlıyor sakalı alırken tarakla küçük takılmalar oldu onun dışında kesimi beğendim,"['ürün', 'tek', 'sıkıntı', 'çabuk', 'ısınma', 'sıfır', 'yak', 'bir', 'kesim', 'sağlı', 'sakalı', 'al', 'tarak', 'küçük', 'takılma', 'oldu', 'on', 'dış', 'kesim', 'beğen']"
Ürünü beğendim herhangibir sıkıntı yok tam istediğim gibiydi teşekkürler,"['ürün', 'beğen', '', 'sıkıntı', 'yok', 'tam', 'istedik', 'gibi', 'teşekkür']"
"Başarılı ürün, fiyat/Performans ürünü","['başarılı', 'ürün', '', 'ürün']"
gelir gelmez hemn actim şarjı vardı ürün güzel paketlenmis sıkıntısız çalışıyordu sakal tıraşı yaptım 0 kesimi çok güzel gönül rahatlığıyla alabilirsiniz,"['gelir', 'gel', '', '', 'şarj', 'var', 'ürün', 'güzel', '', 'sıkıntısız', 'çalış', 'sakal', 'tıraş', 'yap', 'kesim', 'güzel', 'gönül', 'rahatlık', 'alabil']"
"Gerçekten çok kaliteli bir tıraş makinesi. Hızlı kargo için de teşekkür ederim. İlgili bir satıcı, bu ikinci siparişim.","['gerçekten', 'kaliteli', 'bir', 'tıraş', 'makine', 'hızlı', 'kargo', 'teşekkür', 'eder', 'ilgili', 'bir', 'satıcı', 'ikinci', 'sipariş']"
ürüne yapılan olumlu yorumlara bakarak aldım. ürün anlatıldığı gibiydi. gayet kullanışlı ve pratik. umarım uzun ömürlü olur.,"['ürün', 'yapılan', 'olumlu', 'yorum', 'bakarak', 'al', 'ürün', 'anlatıldık', 'gibi', 'gayet', 'kullanışlı', 'pratik', 'umar', 'uzun', 'ömürlü', 'olur']"
arkadaşlar alin,"['arkadaş', 'ali']"
fiyatına göre maksimum verimli,"['fiyat', 'göre', 'maksimum', 'verimli']"
cok kaliteli buldum tavsiye ederim,"['', 'kaliteli', 'bul', 'tavsiye', 'eder']"
"çok ince ağız yapısı var, şarjı çok iyi. Braun var fiyat bunun rahat 3 katı ama şarj ve ağız bu makine yanında hiç. marka işte","['ince', 'ağız', 'yapı', 'var', 'şarj', 'iyi', '', 'var', 'fiyat', 'bun', 'rahat', 'katı', 'şarj', 'ağız', 'makine', 'yanında', 'marka', 'işte']"
çok kaliteli herkes e tavsiye ederim,"['kaliteli', 'herkes', 'e', 'tavsiye', 'eder']"
Traş makinası çok güzel gerçekten mükemmel 3.yü aldık,"['', '', 'güzel', 'gerçekten', 'mükemmel', '', 'al']"
Makina çok şık güzel bir ürün tavsiye ederim,"['', 'şık', 'güzel', 'bir', 'ürün', 'tavsiye', 'eder']"
2 adet aldık 1. 3 . 5 aydır bizde memnunduk. anlayın vorteil teşekkürler. 2. yeni aldık ondada sorun yok,"['adet', 'al', 'ay', 'biz', 'memnun', 'anlayın', '', 'teşekkür', 'yeni', 'al', '', 'sorun', 'yok']"
"Ürünü ikinci alışım, birini hediye olarak aldım, oda memnun kaldı. Sakal için özellikle çok güzel sıfıra yakın bir kesimi var. ama sinek kaydı derseniz hayır. Tarak kısmı dışındaki yerler plastik. fiyatına göre çok iyi. tavsiye ederim.","['ürün', 'ikinci', 'alış', 'biri', 'hediye', 'olarak', 'al', 'oda', 'memnun', 'kal', 'sakal', 'özellik', 'güzel', 'sıfır', 'yak', 'bir', 'kesim', 'var', 'sinek', 'kayıt', 'der', 'hayır', 'tarak', 'kısım', 'dış', 'yer', 'plastik', 'fiyat', 'göre', 'iyi', 'tavsiye', 'eder']"
Beğendim gayet güzel,"['beğen', 'gayet', 'güzel']"
Evet beğendim alacak arkadaşlara tavsiye ediyorum,"['evet', 'beğen', 'alacak', 'arkadaş', 'tavsiye', 'et']"
"Ürün resimdeki gibi gayet güzel ele oturuyor, titreşim yok denecek kadar az, kesmesi süper , kıl yolma tahriş etme yok, tavsiye ediyorum alın kullanın ilk kullanımda çok memnun kaldım teşekkürler...","['ürün', 'resim', 'gayet', 'güzel', 'ele', 'otur', 'titreşim', 'yok', 'den', 'kadar', 'kesme', 'süper', 'kıl', 'yol', 'tahriş', 'et', 'yok', 'tavsiye', 'et', 'al', 'kullan', 'ilk', 'kullanım', 'memnun', 'kal', 'teşekkür']"
ŞUANLIK GÜZEL BAKALİM KAÇ AY GÖTÜRECEK 2 YIL GARANTİSİ VAR GÖZÜKÜYOR UMARİM KIYTIRIK GARANTİLERDEN DEĞİLDİR,"['', 'güzel', '', 'kaç', 'ay', 'götür', '', 'garanti', 'var', 'gözük', '', '', 'garanti', 'değil']"
hem uygun hem kalite başka ne denilebilir ki?,"['uygun', 'kalite', 'başka', 'denilebil']"
ürün çok güzel ve kullanışlı iki adetyaldim.tavsiye ederim.,"['ürün', 'güzel', 'kullanışlı', 'iki', '', 'eder']"
Ürünü beğendim herkese gönül rahatlığı ile tavsiye ederim,"['ürün', 'beğen', 'herkes', 'gönül', 'rahatlık', 'tavsiye', 'eder']"
Çok güzel bir ürün. tavsiye ederim. çevremde kullananlar da memnun,"['güzel', 'bir', 'ürün', 'tavsiye', 'eder', 'çevre', 'kullanan', 'memnun']"
Sakalı sıfır kesmiyor ama makina güzel kaliteli,"['sakalı', 'sıfır', 'kes', '', 'güzel', 'kaliteli']"
Çok kalitesiz kesiyor. Berbeelerdelki markasız ürünler bundan çok iyi. Kullanmıyorum duruyor öyle.,"['kalitesiz', 'kes', '', 'markasız', 'ürün', 'bun', 'iyi', 'kullan', 'dur', 'öyle']"
Vücut kılları ve sakallar için güzel bi ürün. Sarjı uzun gidiyor ve çabuk doluyor. Fiyat performans ürünü,"['vücut', 'kıl', 'sakal', 'güzel', '', 'ürün', '', 'uzun', 'git', 'çabuk', 'dola', 'fiyat', 'performans', 'ürün']"
Hayır boynumu kesti,"['hayır', 'boyun', 'kes']"
çok güzel ve kaliteli ürün,"['güzel', 'kaliteli', 'ürün']"
Ürünü çok beğendim,"['ürün', 'beğen']"
Güzel ürün Jet hızında teslimat Teşekkürler..,"['güzel', 'ürün', 'jet', 'hız', 'teslimat', 'teşekkür']"
Ürün ikinci kattan düştü sadece çizildi...,"['ürün', 'ikinci', 'kattan', 'düş', 'sade', 'çizil']"
tarif edildiği gibi kaliteli bir ürüne benziyor,"['tarif', 'edildik', 'kaliteli', 'bir', 'ürün', 'benze']"
"Ürün çok güzel, kullanışlı, motoru kuvvetli. Fiyatı da uygun","['ürün', 'güzel', 'kullanışlı', 'motor', 'kuvvetli', 'fiyat', 'uygun']"
Adaptörü kırık geldiği için yorum yapamıyorum. Görünüşü fena değildi.,"['adaptör', 'kırık', 'geldik', 'yorum', 'yap', 'görünüş', 'fena', 'değil']"
arızalı ürün gönderiyo..dikkat edin..iadeaide yokmuş,"['arızalı', 'ürün', '', '', '']"
"ürünü nisan ayında satın aldım, saç tıraşı performansı güzel ama sakal için ideal değil. birde şarj olurken pilden ses geliyor şarj süresi gayet makul. 2,5 ay sorunsuz kullandım fakat sonrasında bozuldu, motor kendi kendine yavaşlayarak duruyor, düzeltmek için içini açıp motoru elle döndermek gerekiyor ama sonrasında aynı sorunu tekrar yapıyor.","['ürün', 'nisan', 'ayın', 'satı', 'al', 'saç', 'tıraş', 'performans', 'güzel', 'sakal', 'ideal', 'değil', 'bir', 'şarj', 'olur', 'pil', 'ses', 'gel', 'şarj', 'süre', 'gayet', 'makul', 'ay', 'sorunsuz', 'kullan', 'fakat', 'sonra', 'bozul', 'motor', 'kendi', 'kendi', 'yavaşlayarak', 'dur', 'düzeltmek', 'için', 'açıp', 'motor', 'el', '', 'gerek', 'sonra', 'aynı', 'sorun', 'tekrar', 'yap']"
SÜPER ÜRÜN SÜPER MAĞZA SÜPER KARGO TEŞEKKÜRLER,"['süper', 'ürün', 'süper', '', 'süper', 'kargo', 'teşekkür']"
"Ürün gayet başarılı. Gönderici firma gayet özenli kargolamış. Ürün resimde olduğu gibi geldi ve sakal içinde 1-2-3 numara traş başlıkları, mini temizleme fırçası, ince yağ, şarj adaptörü de çöküyor kutudan.","['ürün', 'gayet', 'başarılı', 'gönderici', 'firma', 'gayet', 'özenli', 'kargola', 'ürün', 'resim', 'olduk', 'gel', 'sakal', 'içinde', 'numara', '', 'başlık', 'mini', 'temizle', 'fırça', 'ince', 'yağ', 'şarj', 'adaptör', 'çök', 'kutu']"
Ürünü kuaförde görüp de aldım. Cildi tahriş etmiyor ve sarjı çok uzun süre gidiyor.,"['ürün', 'kuaför', 'görüp', 'al', 'cilt', 'tahriş', 'et', '', 'uzun', 'süre', 'git']"
sadece sakal keseceğini düşündüm ama saçta kesimi yaptım biraz zorlandı sanki ama oldukça başarılı bir makine tavsiye ederm,"['sade', 'sakal', 'kesecek', 'düşün', 'saçt', 'kesim', 'yap', 'biraz', 'zorlan', 'oldukça', 'başarılı', 'bir', 'makine', 'tavsiye', '']"
ürünü beğendim bide sipariş verir vermez bir saat içinde kargoya vermesi çok güzel,"['ürün', 'beğen', 'bide', 'sipariş', 'ver', 'ver', 'bir', 'saat', 'içinde', 'kargo', 'verme', 'güzel']"
ürün süper hiç çekinmeden alabilirsiniz,"['ürün', 'süper', 'çekinmeden', 'alabil']"
çok harika tavsiye ederim,"['harika', 'tavsiye', 'eder']"
Güzel ürün sıfıra yakın kesiyor. Micro usb kablosu Eski android şarj kablosu ile şarj edebiliyorsunuz. Resimde boyutu büyük görünüyor ama ufak hoş.,"['güzel', 'ürün', 'sıfır', 'yak', 'kes', '', '', 'kablo', 'eski', '', 'şarj', 'kablo', 'şarj', 'edebil', 'resim', 'boyut', 'büyük', 'görün', 'ufak', 'hoş']"
Kargo Hızı Mükemmel her eve diye başlayan mağazadan almıştım adamlar kargoya veremedi bundan sonra bu tarz ürünleri bu mağazadan alacağım bir buçuk günde geldi. Yorumlara bakarak aldım pişman olacağımi sanmıyorum,"['kargo', 'hız', 'mükemmel', 'ev', 'başlayan', 'mağaza', 'al', 'adam', 'kargo', 'ver', 'bun', 'sonra', 'tarz', 'ürün', 'mağaza', 'alacak', 'bir', 'buçuk', 'günde', 'gel', 'yorum', 'bakarak', 'al', 'pişman', '', 'san']"
Begenmedim iade ettim,"['', 'iade', 'et']"
kötü bu firma dan almayın,"['kötü', 'firma', '', 'al']"
ürün kalitesi çok iyi performans olarakta güclü makina,"['ürün', 'kalite', 'iyi', 'performans', 'olarak', '', '']"
Ürünü begendim fakat kullanılmış gibiydi,"['ürün', '', 'fakat', 'kullanılmış', 'gibi']"
"Mağaza bozuk, çalışmayan ürün gönderdi. Defalarca değişim iade talep de bulundum. sürekli oyalayip bahane uydurdular. Sakın almayın bunlardan bir şey.","['mağaza', 'bozuk', 'çalışmayan', 'ürün', 'gönder', 'defalarca', 'değiş', 'iade', 'talep', 'bulun', 'sürekli', '', 'bahane', 'uydur', 'sakın', 'al', 'bunlar', 'bir']"
Fiyatına göre iyi çekme yapmıyor.,"['fiyat', 'göre', 'iyi', 'çek', 'yap']"
Üründen memnun kalmadım ve iade etmek istedim ama mağaza kabul etmiyor iade vardiye aldanmayın ürüne...,"['ürün', 'memnun', 'kal', 'iade', 'etmek', 'iste', 'mağaza', 'kabul', 'et', 'iade', '', 'aldan', 'ürün']"
"Ürün kısa sürede geldi, paket özenli idi. Kullanımda rahat 1-2-3mm uçlar var daha fazla olabilirdi, onun haricinde fiyatına göre güzel tavsiye ederim.","['ürün', 'kısa', 'süre', 'gel', 'paket', 'özenli', 'idi', 'kullanım', 'rahat', '', 'uç', 'var', 'fazla', 'olabilir', 'on', 'haricî', 'fiyat', 'göre', 'güzel', 'tavsiye', 'eder']"
600 lira para verdim moser aldım bir kutu da geldi rezalet. garanti bandı yok içinde ne olduğu belli değil ve hemen kargo elemanını göndermedim geri yolladım. 100 liraya bu ürünü aldım mükemmel bir traşı var. jilet traşıyla aynı traşı var hemen hemen. çok memnunum.,"['lira', 'para', 'verdi', '', 'al', 'bir', 'kutu', 'gel', 'rezalet', 'garanti', 'bant', 'yok', 'içinde', 'olduk', 'belli', 'değil', 'hemen', 'kargo', 'eleman', 'gönder', 'geri', 'yolla', 'lira', 'ürün', 'al', 'mükemmel', 'bir', '', 'var', 'jilet', '', 'aynı', '', 'var', 'hemen', 'hemen', 'memnun']"
"Hayır, beğenmedim","['hayır', 'beğen']"
Motoru güçlü. Kesimi çok iyi çekme yok. Hassas bölgelerde kullanırken dikkatli olmak lazım :) iki eksiği var bana göre: başlıkları çok kötü. Ben 3 mm kullanırım kısaltırım diye umuyordum ama kullanamadım. Başlığı takınca kesmedi sakalları birazını alıyor birazını bırakıyor falan. Kısacası başlık performansı kötü. Diğer sorun da parlak yüzeyler. Hem çok kaygan hem de kıl tutuyor çok fazla.,"['motor', 'güçlü', 'kesim', 'iyi', 'çek', 'yok', 'hassas', 'bölge', 'kullan', 'dikkatli', 'olmak', 'lazım', 'iki', 'eksik', 'var', 'bana', 'göre', 'başlık', 'kötü', 'ben', '', 'kullan', 'kısalt', 'um', 'kullan', 'başlık', 'takınca', 'kes', 'sakal', 'biraz', 'al', 'biraz', 'bırak', 'falan', 'kısacası', 'başlık', 'performans', 'kötü', 'diğer', 'sorun', 'parlak', 'yüzey', 'kaygan', 'kıl', 'tut', 'fazla']"
10dk şarj oluyor sonra yeşil ışık yanıyor oysa şarjı yok makinenin.Kesik kesik çalışıyor en son kendi kendine çalışmayı durduruyor.Beklediğim gibi değildi,"['', 'şarj', 'ol', 'sonra', 'yeşil', 'ışık', 'yan', 'oysa', 'şarj', 'yok', '', 'kesik', 'çalış', 'son', 'kendi', 'kendi', 'çalışma', '', 'değil']"
1 saniye bile düsünmeden alın. Resmen sıfır alıyor sakal ve ense icin aldim sonuc mukemmel. Bu kadar olacagini tahmin etmemistim.,"['saniye', 'bile', '', 'al', 'resmen', 'sıfır', 'al', 'sakal', 'ense', '', '', '', '', 'kadar', '', 'tahmin', '']"
Ürün iyi ama kargo teslimat süresi berbat,"['ürün', 'iyi', 'kargo', 'teslimat', 'süre', 'berbat']"
evet beğendim tavsiye ederim,"['evet', 'beğen', 'tavsiye', 'eder']"
"bu fiyata bu makina harika, bir çok iyi marka dediğinden daha iyi iş çıkarıyor.","['fiyat', '', 'harika', 'bir', 'iyi', 'marka', 'dediğinde', 'iyi', 'iş', 'çıkar']"
Uzun ömürlü olursa son zamanlarda yaptığım en iyi alışveriş diyebilirim.,"['uzun', 'ömürlü', 'olur', 'son', 'zaman', 'yaptık', 'iyi', 'alışveriş', 'diyebil']"
Ürünü kullanmadım.Ama paketleme çok özensiz. Sanki 3.el ürün gibi,"['ürün', '', 'paketle', 'özensiz', 'el', 'ürün']"
ürün çok kaliteli,"['ürün', 'kaliteli']"
Bazı arkadaşlar kıl çekiyor/koparıyor demiş. İsterseniz bin tllik tıraş makinesi ile tıraş olun yine çeker ilk sakallarınızı tarayın birbirinden ayırın sonra çekme yaparsa tamam makinede sorun vardır hiçbir müşterimden böyle ne bir şikayet aldım ne de kıl çektiğini hissettim kendim de bizzat kullanıyorum gayet iyi daha bugün geldi üç kişide de sorun yok tr-1200 modeli de saç için çok iyi tavsiye ederim,"['arkadaş', 'kıl', '', 'de', 'iste', 'bin', '', 'tıraş', 'makine', 'tıraş', 'ol', 'yine', 'çeker', 'ilk', 'sakal', 'tara', 'birbiri', 'ayır', 'sonra', 'çek', 'yap', 'tamam', 'makine', 'sorun', 'var', 'hiçbir', 'Müşteri', 'böyle', 'bir', 'şikâyet', 'al', 'kıl', 'çektik', 'hisset', 'kendi', 'bizzat', 'kullan', 'gayet', 'iyi', 'bugün', 'gel', 'üç', 'kişi', 'sorun', 'yok', '', 'model', 'saç', 'iyi', 'tavsiye', 'eder']"
evet cok iyiydi,"['evet', '', 'iyi']"
"Moser, Panasonic marka pahalı cihazları kullanmış biri oalrak şunu söyleyebilirim ki parasını fazlasıyla hakl eden bir ürün. 2 bin liralık moser cihazı emekli etti, ben kafamı kazımak ve sert sakalımı tıraş etmek için kullanıoyrum, jilete yakın tıraş yapıyor şiddetle tavsiye ederim","['', '', 'marka', 'pahalı', 'cihaz', 'kullan', '', 'şu', 'söyleyebil', 'para', 'fazlasıyla', '', 'ede', 'bir', 'ürün', 'bin', 'liralık', '', 'cihaz', 'emekli', 'et', 'ben', 'kafa', 'kazımak', 'sert', 'sakalı', 'tıraş', 'etmek', '', 'jilet', 'yak', 'tıraş', 'yap', 'şiddet', 'tavsiye', 'eder']"
"ürün için saç da keser yazıp müşteri aldatıyorlar ama ürün asla saç kesimi için tasarlanmamıştır.powertec firması türk ama ürünleri çinden alıyorlar türk malı değil ürünler,arayıp sorabilirsiniz.aliexpresten satın alınsa yarı fiyata alınabilirdi,şimdi olsa asla tr den almam.","['ürün', 'saç', 'kes', 'yazıp', 'Müşteri', 'aldat', 'ürün', 'asla', 'saç', 'kesim', '', 'firma', 'Türk', 'ürün', 'Çin', 'al', 'Türk', 'mal', 'değil', '', '', 'satı', 'alın', 'yarı', 'fiyat', '', 'ol', 'asla', '', 'den', 'al']"
"Ürün harika rengi, tutuşu çok güzel. Çalışma sesi rahatsız etmiyor açıkcası kaliteli bir ürün...","['ürün', 'harika', 'renk', 'tutuş', 'güzel', 'çalış', 'ses', 'rahatsız', 'et', '', 'kaliteli', 'bir', 'ürün']"
ÜRÜNÜN FATURASI YOKK E.POSTAYA GÖNDERMEMİŞLER MAKİNADA SORUN YOK ÇALIŞMASI GÜZEL BU FİYATA ALINABİLECEK EN GÜZEL MAKİNE....,"['ürün', '', '', 'eposta', 'gönder', '', 'sorun', 'yok', '', 'güzel', 'fiyat', '', 'güzel', 'makine']"
makinayı beğendim Berberim zaten,"['', 'beğen', 'berber', 'zaten']"
TEŞEKKÜRLER....,['teşekkür']
"Ben jiletle sakal tıraşı olmaktan bıktığım için ve jilet tahriş ettiği için aldım, jilet gibi sıfır kesiyor.Ben çok beğendim ve artık jilet kullanmayacağım, hem sakal hem ense için yapılmış on numara bir makina, saç traş için olmaz, saç traş için iki kademeli olanları tercih ediniz.","['ben', 'jilet', 'sakal', 'tıraş', 'olmak', 'bıktık', 'jilet', 'tahriş', 'ettik', 'al', 'jilet', 'sıfır', '', 'beğen', 'artık', 'jilet', 'kullan', 'sakal', 'ense', 'yapıl', 'on', 'numara', 'bir', '', 'saç', '', 'olmaz', 'saç', '', 'iki', 'kademeli', 'olan', 'tercih', 'et']"
Henüz kullanmaya başlamadım ama güzel görünüyor.,"['henüz', 'kullan', 'başla', 'güzel', 'görün']"
urun begen dım skıntısız geldı ama urunu alıcak arkadaslar sunu bılsınler urun sac ıcın uggun degıl sakal ıcın uygun,"['ur', '', '', '', '', 'ur', 'alıcak', '', 'sunu', '', 'ur', 'sac', '', '', '', 'sakal', '', 'uygun']"
ürün kaliteli görünüyor berberde görerek aldım sakal tıraşı da başarılı kullandıkça kalitesini gösterecek şimdilik sorun yok başarılı cihaz,"['ürün', 'kaliteli', 'görün', 'berber', 'görerek', 'al', 'sakal', 'tıraş', 'başarılı', 'kullandıkça', 'kalite', 'göster', 'şimdilik', 'sorun', 'yok', 'başarılı', 'cihaz']"
"Öncelikle ürünü çok geç teslim ettiklerini söylemek istiyorum.. Ürünü açtığımda paketinde verilen taraklardan 1mm ve 3mm olan verilmiş, fakat 2mm olanı göndermemişlerdi. Mağazayla iletişime geçtiğimde ancak kargo ücreti ödenirse göndereceklerini söylediler. Yani ürünü sizin elinize eksik ulaştırıyorlar, bir de tamamlanması için kendi cebinizden kargo parasını da ödüyorsunuz. Mağaza hiçbir şekilde ortak nokta bulmaya çalışmıyor, sizin ürünü teslim aldığınızda tutanak tutmanız gerektiğini söylüyor. Tabii ki pratikte hiçbir insan tüm kutuyu açıp eksik olup olmadığına bakamayacaklarını bildikleri için bu yöntemle paçayı kurtarmaya çalışıyorlar. Ürünü hiçbir şekilde iade almıyorlar. Ürün yanlış,eksik veya kusurlu gelebilir. Ve geldiğinde ürünü kesinlikle iade edemeyeceğinizi bilerek kararınızı verin. Şu ürün için beni 2 haftadır uğraştırdılar.Aldığıma alacağıma bin pişman oldum. Bu ürünü alacaklara bu mağazayı kesinlikle tavsiye etmiyorum.","['öncelik', 'ürün', 'geç', 'teslim', 'ettik', 'söylemek', 'iste', 'ürün', 'açtık', 'paket', 'verilen', 'tarak', '', '', 'olan', 'veril', 'fakat', '', 'olan', 'gönder', 'mağaza', 'iletiş', 'geçtik', 'ancak', 'kargo', 'ücret', 'öden', 'gönderecek', 'söyle', 'ürün', 'siz', 'el', 'eksik', 'ulaştır', 'bir', 'tamamlanma', 'kendi', 'cep', 'kargo', 'para', 'öde', 'mağaza', 'hiçbir', 'şekil', 'ortak', 'nokta', 'bul', 'çalış', 'siz', 'ürün', 'teslim', 'aldık', 'tutanak', 'tutman', 'gerektik', 'söyle', 'tabii', 'pratikte', 'hiçbir', 'insan', 'kutu', 'açıp', 'eksik', 'olup', 'olmadık', 'bakamayacak', 'bildik', 'yöntem', 'paça', 'kurtar', 'çalış', 'ürün', 'hiçbir', 'şekil', 'iade', 'al', 'ürün', '', 'kusurlu', 'gelebil', 'geldiğinde', 'ürün', 'kesinlik', 'iade', 'edemeyecek', 'bilerek', 'karar', 'veri', 'ürün', 'ben', 'hafta', '', 'alacak', 'bin', 'pişman', 'oldu', 'ürün', 'alacak', 'mağaza', 'kesinlik', 'tavsiye', 'et']"
